throw_id,team_id,fielder_id,fielder_position,thrower_id,thrower_position,receiver_id,receiver_position,exchange_time,throw_pos_x,throw_pos_y,throw_velo_x,throw_velo_y,throw_velo_z,batter_pos_x_at_throw,batter_pos_y_at_throw,batter_velo_at_throw,bounce_pos_x,bounce_pos_y,bounce_velo_x,bounce_velo_y,bounce_velo_z,receiver_pos_x,receiver_pos_y,receiver_dist_from_1b,throw_deflected_by_receiver,start_state,end_state,runs_on_play,batter_result
29883,8,541,6,541,6,857,3,1.433,-48.11522081,130.3121097,61.02124097,-30.9463767,13.53056608,22.8632102,22.50322937,18.0572654,NA,NA,NA,NA,NA,63.4480537,66.24642681,2.613845098,0,____0,____1,0,out
29884,8,290,5,290,5,857,3,0.833,9.132973223,101.2996124,54.79823572,-39.22926191,7.667854931,42.30509239,42.24175436,26.00409958,NA,NA,NA,NA,NA,60.990166,63.73264092,2.651077107,0,____1,____2,0,out
29885,6,241,5,241,5,25,3,1.633,-41.67415308,55.79226841,71.04433073,7.072884278,7.203671756,28.10365354,28.95632067,25.68220117,NA,NA,NA,NA,NA,60.86288423,62.56481209,2.97748197,0,____0,____1,0,out
29886,8,541,6,541,6,857,3,0.7,-63.56583712,119.1890268,56.01907311,-20.36146937,16.15762754,24.54804347,26.61726346,27.46916628,NA,NA,NA,NA,NA,59.73848441,65.94250827,4.530134908,0,____1,1___1,0,first
29888,8,285,9,285,9,857,3,1.2,125.3039567,216.074214,-34.68563669,-68.54534698,10.2754034,50.83604462,46.18660967,19.20724779,48.04464418,84.4818101,-22.93645673,-33.66054578,8.833408864,32.8126336,60.02254333,31.03845464,0,12__1,123_1,0,first
29890,6,39,4,39,4,25,3,0.734,42.41401983,131.9925545,14.53284492,-52.12469881,6.587951826,35.27613546,35.3670856,26.38690789,NA,NA,NA,NA,NA,60.3890593,63.76220989,3.252862204,0,____1,____2,0,out
29891,6,744,8,744,8,25,3,1.066,-44.73302927,291.0972417,10.53511229,-81.92285665,17.45267418,60.45337776,55.52506718,17.78073345,NA,NA,NA,NA,NA,-7.747065081,80.5597266,73.36448567,0,_23_1,_2__2,1,out
29894,8,97,8,97,8,857,3,1.133,-35.06964862,259.0131409,17.65306669,-89.70638431,11.18484099,60.58913727,68.99520476,15.86056487,NA,NA,NA,NA,NA,-0.940576653,73.07647318,65.26603197,0,_2__0,1_3_0,0,first
29895,7,828,4,828,4,615,3,1.367,77.609838,149.6175342,-11.70249755,-72.2256522,5.43187868,39.67573543,39.69902621,27.01875451,NA,NA,NA,NA,NA,63.31780797,65.61102448,1.997506089,0,____1,____2,0,out
29899,7,757,6,828,4,615,3,0.667,-0.940947812,127.278427,51.93646414,-49.62477316,5.522765664,38.56214112,39.35856656,23.25784543,NA,NA,NA,NA,NA,61.50058904,66.06246197,3.231968773,0,1___0,____2,0,out
